ID,Total_mean,Fascination,Being_away_to,Being_away_from,Compatibility,Extent_Coherence,Extent_Scope,Positive,Negative,Valence,Arousal,Dominance
2,4.105263158,4.2,5,4.333333333,3.5,4.333333333,2,21,10,9,1,7
3,3.421052632,2.8,4.333333333,3,2.75,4.666666667,4,14,16,5,4,1
5,4.473684211,5.4,3.666666667,3.666666667,4.25,5.333333333,3,30,10,7,3,4
6,4.157894737,4,4.333333333,4,4.5,4,4,31,26,5,3,1
7,3,2.6,2.666666667,1.666666667,2.5,5,6,22,28,6,6,4
8,3.105263158,3.2,2.333333333,3,2.75,4.333333333,3,20,11,7,1,7
9,4,3.6,4,4.333333333,4.25,5,1,26,11,7,3,7
11,2.842105263,2.8,3,3,2.75,3.333333333,1,18,18,3,5,3
12,2.263157895,2,1.666666667,3.666666667,2.25,2.333333333,1,30,18,7,3,4
13,2.315789474,1.8,3,2.666666667,2,2.333333333,3,16,24,3,7,2
15,2.842105263,3.8,4,1.666666667,2.25,2.666666667,1,18,11,4,2,3
16,4.631578947,5.2,3.333333333,5,5.5,4.666666667,1,21,10,7,4,5
17,5.315789474,5.4,3,5,5.5,7,7,24,10,8,1,6
18,3.210526316,3.8,2.333333333,3.666666667,2.75,4,1,13,10,5,1,4
19,3.947368421,3,4,3.333333333,4.25,6.333333333,2,16,14,7,5,7
20,3.894736842,4.2,3.666666667,3.666666667,4.5,3.666666667,2,26,16,5,3,7
21,1.578947368,2.2,1.666666667,1.666666667,1.25,1,1,14,11,5,5,5
22,2.684210526,2.2,2,3.333333333,2,4,4,11,10,6,2,4
23,4.421052632,4,5.333333333,3.666666667,4.25,5.333333333,4,26,21,7,6,6
24,3.736842105,3,5,1.333333333,5,4.333333333,4,19,16,5,2,5
25,3.736842105,2.6,4.333333333,4.666666667,3.25,4.333333333,5,15,12,5,4,3
26,5.157894737,5.2,3.333333333,5.333333333,5.25,6.666666667,5,27,15,6,6,4
27,3.105263158,2.8,4,3.666666667,2.75,3.333333333,1,25,15,6,5,6
28,2.052631579,1.8,2.666666667,2,2.25,2,1,20,16,5,6,3
31,2.526315789,1,3.333333333,4,1.25,3.666666667,5,10,14,4,6,4
33,2.157894737,2,2.666666667,1,2,3.666666667,1,18,17,5,3,7
34,4.421052632,4.2,4.666666667,3.666666667,3.75,6.333333333,4,15,11,5,3,6
35,4.736842105,4.8,4,5,4.75,6,2,21,10,7,1,5
36,4.210526316,3.8,3.666666667,4.666666667,4.5,4.666666667,4,15,10,7,3,5
37,2.105263158,2.4,2,1.666666667,2.25,2.333333333,1,17,11,6,1,1
38,2.842105263,2.6,2.666666667,2.666666667,2.25,5,1,34,10,8,2,6
40,4.789473684,4.6,4.333333333,5.333333333,5,4.666666667,5,33,11,7,3,3
42,3.789473684,2.4,4,3.666666667,4.75,3.666666667,7,26,23,6,7,7
43,2.315789474,2.4,1.666666667,2.666666667,2.25,3,1,16,12,5,4,3
44,2.842105263,2,4.666666667,1.666666667,2,4,5,12,10,5,1,5
45,3.947368421,4,4,4,4,4.333333333,2,21,28,4,3,3
46,2.263157895,1,2.333333333,3,3,3,1,21,13,6,5,5
47,2.894736842,4,2.666666667,2,2.5,2.666666667,3,24,18,5,5,5
49,4.263157895,4.8,3.666666667,3.333333333,4.25,5.333333333,3,25,10,7,3,5
50,2.210526316,2.4,1.666666667,1,2.25,3,4,23,12,5,7,3
51,3.526315789,3.8,4.666666667,2,3,5,1,19,10,7,2,5
52,3.842105263,4.4,4.333333333,3.333333333,3.5,4,2,22,12,6,3,6
53,3.894736842,3.6,2.333333333,3.333333333,5,4.666666667,5,14,10,7,5,5
54,3.157894737,4.2,2.666666667,2,2.75,4.333333333,1,18,10,8,3,6
55,3.263157895,3.4,4,4,2,4,1,14,10,5,2,3
56,2.736842105,2.2,3,2.333333333,2.5,4.333333333,2,25,14,7,3,5
57,2.421052632,2.6,3.333333333,1.333333333,2.25,3,1,13,11,5,1,5
58,3.684210526,2.6,2.666666667,4.333333333,3.75,5.666666667,4,11,10,6,3,5
59,3.368421053,4.4,2,3,3.5,4,1,17,10,7,4,1
60,3,2.8,2.666666667,3.333333333,3,3,4,13,11,4,1,2
61,2.263157895,1.6,3.333333333,3,1.75,2.666666667,1,17,35,5,1,1
62,3.578947368,2.8,4.333333333,4.333333333,3.25,4.333333333,2,21,11,5,6,6
63,2.368421053,2.8,1,1.666666667,2,4,3,22,22,3,7,1
64,3.315789474,2.2,3,4,3,4.333333333,6,14,11,6,2,5
65,3.421052632,3.2,3,2.666666667,3.5,5.333333333,2,19,13,6,7,2
66,2.421052632,2,3,2.333333333,2,3.333333333,2,12,16,4,5,3
67,3.105263158,2,2.333333333,1.333333333,4,5.333333333,6,10,18,3,6,2
68,3.210526316,2.8,4,2.333333333,3.5,4,2,29,22,6,5,6
69,1.684210526,1.4,1.333333333,2.333333333,1.5,2,2,10,10,5,5,3
70,3.052631579,4.2,2,1.333333333,3,3.666666667,4,12,10,5,1,5
